WARD,TOTAL_BIKELANES,TIER_1,TIER_2,TIER_3,TIER_4,TIER_5,TIER_6
1,"920.88",50%,1%,4%,3%,39%,4%
2,"612.67",57%,2%,1%,3%,30%,6%
3,"471.92",41%,0%,14%,0%,45%,0%
4,"554.83",40%,0%,13%,2%,43%,2%
5,"807.04",9%,0%,8%,1%,67%,15%
6,"699.01",17%,8%,18%,0%,46%,11%
7,"584.42",39%,1%,5%,3%,44%,8%
8,"632.28",39%,8%,11%,1%,40%,1%
9,"1,377.81",11%,5%,4%,3%,25%,51%
10,"1,182.17",4%,1%,23%,4%,62%,6%
11,"2,196.49",5%,4%,15%,0%,56%,19%
12,"3,251.90",4%,1%,30%,3%,34%,28%
13,"2,788.57",14%,0%,23%,0%,26%,37%
14,"557.30",43%,1%,0%,0%,54%,2%
15,"1,765.74",3%,0%,22%,0%,33%,41%
